Accused	At the time of bail setting, the Accused is held without bail/bond, released on his/her own recognizance, or required to give the Court a specific amount of money for bail. 'Judge Duncan fixed the doctor's bail at one million dollars.'	At the time of bail setting , the Accused is held without bail / bond , released on his / her own recognizance , or required to give the Court a specific amount of money for bail . ' Judge Duncan fixed the doctor 's bail at one million dollars . '
Act	This FE identifies the Act that the Agent performs intentionally.	This FE identifies the Act that the Agent performs intentionally .
Action	This FE denotes the Action taken by the Agent. 'I chanced a peek at myself.'@@@This FE identifies the Action that the Agent performs intentionally in order to prepare for a later Occasion. 'Little Dieter practiced playing the piano all day.'	This FE denotes the Action taken by the Agent . ' I chanced a peek at myself . '@@@This FE identifies the Action that the Agent performs intentionally in order to prepare for a later Occasion . ' Little Dieter practiced playing the piano all day . '
Activity	The Activity is undertaken by the Agent and is directed towards the Targeted or Target_location. 'The attack targeted a village south of here.'@@@The Activity which is being resumed by the Agent. 'We have renewed our efforts to gain federal recognition. '@@@This FE identifies the Activity for which an Agent is pausing.@@@This FE identifies the Activity that an Agent starts.@@@This FE identifies the Activity that the Agent has finished.@@@This FE identifies the Activity that the Agent stops.	The Activity is undertaken by the Agent and is directed towards the Targeted or Target_location . ' The attack targeted a village south of here . '@@@The Activity which is being resumed by the Agent . ' We have renewed our efforts to gain federal recognition . '@@@This FE identifies the Activity for which an Agent is pausing .@@@This FE identifies the Activity that an Agent starts .@@@This FE identifies the Activity that the Agent has finished .@@@This FE identifies the Activity that the Agent stops .
Actor	An Actor is a sentient being who is exhibiting, possibly uninintentionally, some Phenomenon.@@@An entity which participates in a Cause, perhaps volitionally and perhaps not. 'That one stone, apparently, caused the avalanche that engulfed square miles of forest.' 'Stephen Hawking caused an uproar when the results were published.'	An Actor is a sentient being who is exhibiting , possibly uninintentionally , some Phenomenon .@@@An entity which participates in a Cause , perhaps volitionally and perhaps not . ' That one stone , apparently , caused the avalanche that engulfed square miles of forest . ' ' Stephen Hawking caused an uproar when the results were published . '
Address	This FE is used for a (metaphorical) place in a system of communication where Communicators and Addressees can access the system. 'You can telephone your senator at 555-5555.' 	This FE is used for a ( metaphorical ) place in a system of communication where Communicators and Addressees can access the system . ' You can telephone your senator at 555 - 5555 . '
Addressee	Addressee is the person to whom the Speaker is communicating. When expressed, the Addressee occurs as a PP Complement: 'The taxi driver chattered away to me about gardening. '@@@The Addressee receives a Message from the Communicator. 'The company must be able to communicate to potential customers the way in which its product would satisfy their needs, and provide competitive value. '@@@The Addressee refers to the one toward whom the Communication_noise is directed. Addressee generally occurs in to or at PPs. 'Kim whined to Jess that it wasn't fair.' 'Jess screamed at Kim to be quiet.' @@@The Communicator communicates the summary to the Addressee.@@@The person that receives the message from the Communicator.'The company must be able to call potential customers.' @@@The person that the Speaker seeks to influence to act.@@@This is the person to whom a non-verbal Message is communicated. It may be expressed as an NP Object or as a PP Complement: The teacher gestured us into the room. The teacher gestured to us to enter the room. @@@This is the person to whom the Message is communicated. When this FE is expressed, it often appears in a prepositional phrase introduced by to, or as the direct object, or as the first object in a double object construction. @@@This is the person to whom the response is communicated. When expressed, this FE occurs as the direct object of a Target verb, or in a prepositional phrase introduced by "to": 'Sue answered Bob immediately.' 'Sue responded to Bob immediately.' 	Addressee is the person to whom the Speaker is communicating . When expressed , the Addressee occurs as a PP Complement : ' The taxi driver chattered away to me about gardening . '@@@The Addressee receives a Message from the Communicator . ' The company must be able to communicate to potential customers the way in which its product would satisfy their needs , and provide competitive value . '@@@The Addressee refers to the one toward whom the Communication_noise is directed . Addressee generally occurs in to or at PPs . ' Kim whined to Jess that it was n't fair . ' ' Jess screamed at Kim to be quiet . '@@@The Communicator communicates the summary to the Addressee .@@@The person that receives the message from the Communicator . 'The company must be able to call potential customers . '@@@The person that the Speaker seeks to influence to act .@@@This is the person to whom a non - verbal Message is communicated . It may be expressed as an NP Object or as a PP Complement : The teacher gestured us into the room . The teacher gestured to us to enter the room .@@@This is the person to whom the Message is communicated . When this FE is expressed , it often appears in a prepositional phrase introduced by to , or as the direct object , or as the first object in a double object construction .@@@This is the person to whom the response is communicated . When expressed , this FE occurs as the direct object of a Target verb , or in a prepositional phrase introduced by " to " : ' Sue answered Bob immediately . ' ' Sue responded to Bob immediately . '
Affected	Agents in a joint or reciprocal action (e.g. exchange)	Agents in a joint or reciprocal action ( e.g. exchange )
Affliction	The Frame Element Affliction is generally the NP Object of a verb, frequently incorporating the Patient as a possessor, as described above: 'This potion heals a broken heart.' 'The potion healed Kim's broken heart. '	The Frame Element Affliction is generally the NP Object of a verb , frequently incorporating the Patient as a possessor , as described above : ' This potion heals a broken heart . ' ' The potion healed Kim 's broken heart . '
Agent	A sentient being acts with the intention of causing a process to begin again. 'The driver restarted the truck after it stalled.'@@@Agent is the person causing the Victim's injury. 'Jolosa, who broke a rival player 's jaw, was told to model his play on the England striker.' 'Someone bashed him on the back of the head with a heavy smooth object.' 'Claire McLaren, 16, was punched and kicked senseless by a thug.'@@@Agent is the person who gathers Individuals. 'The police gathered the suspects into a lineup.'@@@An Agent pauses in the course of an Activity.@@@In causative uses of these verbs there is an Agent responsible for amalgamating the Parts. The Agent is generally the External Argument (or the object of a PP-by in passives).'The chef combined the ingredients.''The ingredients were combined by the chef.' @@@The Agent avoids an Undesirable_situation. 'Mike avoided his supervisor at all costs.'@@@The Agent builds a Created_entity. 'Jack built a new house.' @@@The Agent causes an impact. 'One juggler was hitting the ceiling with every other ball.'@@@The Agent causes the Patient to change phase.@@@The Agent causes the change of consistency in the Patient.@@@The Agent consciously places limits upon the Range_of_options. 'The military limited building access to key personnel.'@@@The Agent controls the Patient by being forceful and possibly aggressive.@@@The Agent disperses or scatters the Individuals. @@@The Agent finds the solution or explanation to the outstanding mystery or Problem. 'If we have not been able to resolve a problem to your satisfaction, please email us.'@@@The Agent fortifies the Patient.@@@The Agent intentionally creates a situation in which the Perceiver observes or experiences the Phenomenon.@@@The Agent is a person who applies the Process to the Material.@@@The Agent is the actor who instigates the filling.@@@The Agent is the animate entity which brings about the change in time of the Event. 'The umpire postponed the game.'@@@The Agent is the entity that does the emptying. 'Pat cleared the table of dishes.'@@@The Agent is the individual who ends the confinement or captivity of the Theme. 'The police freed the suspect.'@@@The Agent is the one whose action causes the motion of a Theme. The Agent is generally realized as the External Argument. 'Pat threw the china at the wall.'@@@The Agent is the person (or other force) that causes the Theme to move. 'The waiter placed the food on the table.'@@@The Agent is the person (or other force) that causes the Theme to move. 'The waiter removed the dishes from the table.'@@@The Agent is the person cutting the Item into Pieces.@@@The Agent is the person doing the rewarding or punishing. 'Jake's rewards to his best workers were very generous.'@@@The Agent is the person intentionally restricting the movement of the Theme. 'He confined 340 mutineers in Burford Church for the next three days under general sentence of death.'@@@The Agent is the person performing the intentional act causing the motion of the Projectile.@@@The Agent is the person performing the intentional act that leads to the preservation.'Arlene pickled the cucumbers.'@@@The Agent is the person performing the intentional act.@@@The Agent is the person that creates a Forgery with the intent of passing it off as (an instance of) the Standard. 'He even faked her signature. '@@@The Agent is the person who acts in a misleading way to create the impression that they are a particular individual or type of Simulated_entity. @@@The Agent is the person who acts to leave behind the Theme.@@@The Agent is the person who causes the Hidden_entity to be not perceptually accessible to potential perceivers. 'The deputy concealed the bayonet under his coat.'@@@The Agent is the person who chooses to make himself present at the Event.@@@The Agent is the person who is acting to deal with the Issue.@@@The Agent is the person who's action's cause an emotion in the Experiencer. @@@The Agent is the sentient being who manipulates the Rope. 'Melissa braided Jessica's hair.'@@@The Agent makes an attempt to achieve a Goal. 'John attempted to climb Mt. Everest.' @@@The Agent makes an attempt to achieve a State_of_affairs or to obtain a Sought_entity. 'Those states sought a remedy that would substantially change the company's business practices.'@@@The Agent makes the Patient more resistant to attack.@@@The Agent manipulates an object. Agent typically refers to animate beings, but is also extended to mechanical and other inanimate objects. Agent is most frequently expressed as the external argument of verbs: 'A robot arm grasps the box on the conveyor belt and seals it.'@@@The Agent manipulates an object. Agent typically refers to animate beings, but is also extended to mechanical and other inanimate objects. It is most frequently expressed as the external argument of verbs. 'The robber tied Harry to the chair.' @@@The Agent opens/closes the Containing-object. 'Harry uncorked the champagne.'@@@The Agent performs the Action in preparation for later performances of the same type.@@@The Agent performs the intentional act which changes the temperature of the Item. 'Ryan reheated the pasta in the microwave.'@@@The Agent performs the intentional act.@@@The Agent performs the intentional act. 'We have not yet acted .'@@@The Agent puts effort into reaching Goal.@@@The Agent puts the Entity into a state of renewed vigor. 'We revitalized the Golden Mountaineer Card, and we gave seniors a prescription drug benefit.'@@@The Agent uses the Instrument to achieve their Purpose.@@@The Agent uses the Resource.@@@The Agent who resumes an Activity that they were engaged in earlier. ' We renewed our efforts to get things completed.'@@@The Agent, often an institution or governmental organization, puts a Plan into effect. The Agent is generally a primary participant in the Plan, but a separate Focal_participant may be specified.@@@The Agent, often an institution, governmental organization, or arm thereof, puts into effect (i.e., enforces) a Rule. 'Can a landlord <target>enforce</target> rules upon tenants?'@@@The agent is the person who does the grooming. 'She washed the baby'@@@The animate protagonist who causes the Fluid to move. 'What happens if we drip acid on this compound?'@@@The conscious entity, generally a person, that performs the intentional action that results in the Whole_patient being broken into Pieces. 'I and I alone can shatter the gem and break the curse.'@@@The conscious entity, generally a person, that performs the intentional action that results in the damage to the Patient.@@@The individual that brings about the development of the Project. @@@The individual that changes their situation.@@@The individual that directs the Projectile such that it impacts the Target.@@@The individual that manipulates a Sound_maker so that it makes Noise. 'You can ring the bell as often as you'd like. '@@@The individual that manipulates the Instrument to enable interaction with the Targeted.@@@The individual that performs the Action, resulting in danger to themself. 'I do n't think you should hazard the ascent in the dark , that 's all .'@@@The individual who causes the Process or State to end.@@@The intentional Agent that is impinged upon by a Trigger event to which they respond. 'Once again the Government is responding to a crisis with measures that will only harm patients'@@@The person who causes an entity (Item) to change its positon on a scale with respect to some property (Variable).@@@The person who causes the Theme to be in a particular Configuration.@@@The person who makes arrangements for the Event to take place at a Time and Place. 'Lucy organized a playdate for little Michael and Marcy.'@@@The person who removes the Information.@@@The person who takes possession of the Theme. 'Milton took the can of beer out of the refrigerator.'@@@The sentient being who rescues the Patient or Asset from the Harmful_situation. 'He rescued the innocent girl from a fate worse than death. '@@@The sentient entity that changes the duration of the Event. 'Don't let him prolong the discussion to an absurd length.'@@@The sentient entity that effects a change in the Entity. 'The system administrator changed the value from 'KDE' to 'GNOME', and then restarted the system.'@@@The sentient entity that is temporarily with the Entity in order to fulfil some Purpose.@@@This FE identifies Agent that stops the Activity.@@@This FE identifies the Agent who has finished an Activity.@@@This FE identifies the being that starts the intentional Activity.@@@With causative uses of these verbs, an Agent separates or divides something. The Agent is usually expressed as the External Argument: 'The researcher divided subjects into groups. '@@@With some words in this frame, an Agent who causes the change in size of the Item may be present. The Agent typically occurs as the External Argument of a verb. 'Management expanded the company.' 	A sentient being acts with the intention of causing a process to begin again . ' The driver restarted the truck after it stalled . '@@@Agent is the person causing the Victim 's injury . ' Jolosa , who broke a rival player 's jaw , was told to model his play on the England striker . ' ' Someone bashed him on the back of the head with a heavy smooth object . ' ' Claire McLaren , 16 , was punched and kicked senseless by a thug . '@@@Agent is the person who gathers Individuals . ' The police gathered the suspects into a lineup . '@@@An Agent pauses in the course of an Activity .@@@In causative uses of these verbs there is an Agent responsible for amalgamating the Parts . The Agent is generally the External Argument ( or the object of a PP - by in passives).'The chef combined the ingredients . ''The ingredients were combined by the chef . '@@@The Agent avoids an Undesirable_situation . ' Mike avoided his supervisor at all costs . '@@@The Agent builds a Created_entity . ' Jack built a new house . '@@@The Agent causes an impact . ' One juggler was hitting the ceiling with every other ball . '@@@The Agent causes the Patient to change phase .@@@The Agent causes the change of consistency in the Patient .@@@The Agent consciously places limits upon the Range_of_options . ' The military limited building access to key personnel . '@@@The Agent controls the Patient by being forceful and possibly aggressive .@@@The Agent disperses or scatters the Individuals .@@@The Agent finds the solution or explanation to the outstanding mystery or Problem . ' If we have not been able to resolve a problem to your satisfaction , please email us . '@@@The Agent fortifies the Patient .@@@The Agent intentionally creates a situation in which the Perceiver observes or experiences the Phenomenon .@@@The Agent is a person who applies the Process to the Material .@@@The Agent is the actor who instigates the filling .@@@The Agent is the animate entity which brings about the change in time of the Event . ' The umpire postponed the game . '@@@The Agent is the entity that does the emptying . ' Pat cleared the table of dishes . '@@@The Agent is the individual who ends the confinement or captivity of the Theme . ' The police freed the suspect . '@@@The Agent is the one whose action causes the motion of a Theme . The Agent is generally realized as the External Argument . ' Pat threw the china at the wall . '@@@The Agent is the person ( or other force ) that causes the Theme to move . ' The waiter placed the food on the table . '@@@The Agent is the person ( or other force ) that causes the Theme to move . ' The waiter removed the dishes from the table . '@@@The Agent is the person cutting the Item into Pieces .@@@The Agent is the person doing the rewarding or punishing . ' Jake 's rewards to his best workers were very generous . '@@@The Agent is the person intentionally restricting the movement of the Theme . ' He confined 340 mutineers in Burford Church for the next three days under general sentence of death . '@@@The Agent is the person performing the intentional act causing the motion of the Projectile .@@@The Agent is the person performing the intentional act that leads to the preservation . 'Arlene pickled the cucumbers . '@@@The Agent is the person performing the intentional act .@@@The Agent is the person that creates a Forgery with the intent of passing it off as ( an instance of ) the Standard . ' He even faked her signature . '@@@The Agent is the person who acts in a misleading way to create the impression that they are a particular individual or type of Simulated_entity .@@@The Agent is the person who acts to leave behind the Theme .@@@The Agent is the person who causes the Hidden_entity to be not perceptually accessible to potential perceivers . ' The deputy concealed the bayonet under his coat . '@@@The Agent is the person who chooses to make himself present at the Event .@@@The Agent is the person who is acting to deal with the Issue .@@@The Agent is the person who 's action 's cause an emotion in the Experiencer .@@@The Agent is the sentient being who manipulates the Rope . ' Melissa braided Jessica 's hair . '@@@The Agent makes an attempt to achieve a Goal . ' John attempted to climb Mt. Everest . '@@@The Agent makes an attempt to achieve a State_of_affairs or to obtain a Sought_entity . ' Those states sought a remedy that would substantially change the company 's business practices . '@@@The Agent makes the Patient more resistant to attack .@@@The Agent manipulates an object . Agent typically refers to animate beings , but is also extended to mechanical and other inanimate objects . Agent is most frequently expressed as the external argument of verbs : ' A robot arm grasps the box on the conveyor belt and seals it . '@@@The Agent manipulates an object . Agent typically refers to animate beings , but is also extended to mechanical and other inanimate objects . It is most frequently expressed as the external argument of verbs . ' The robber tied Harry to the chair . '@@@The Agent opens / closes the Containing - object . ' Harry uncorked the champagne . '@@@The Agent performs the Action in preparation for later performances of the same type .@@@The Agent performs the intentional act which changes the temperature of the Item . ' Ryan reheated the pasta in the microwave . '@@@The Agent performs the intentional act .@@@The Agent performs the intentional act . ' We have not yet acted . '@@@The Agent puts effort into reaching Goal .@@@The Agent puts the Entity into a state of renewed vigor . ' We revitalized the Golden Mountaineer Card , and we gave seniors a prescription drug benefit . '@@@The Agent uses the Instrument to achieve their Purpose .@@@The Agent uses the Resource .@@@The Agent who resumes an Activity that they were engaged in earlier . ' We renewed our efforts to get things completed . '@@@The Agent , often an institution or governmental organization , puts a Plan into effect . The Agent is generally a primary participant in the Plan , but a separate Focal_participant may be specified .@@@The Agent , often an institution , governmental organization , or arm thereof , puts into effect ( i.e. , enforces ) a Rule . ' Can a landlord < target > enforce</target > rules upon tenants ? '@@@The agent is the person who does the grooming . ' She washed the baby '@@@The animate protagonist who causes the Fluid to move . ' What happens if we drip acid on this compound ? '@@@The conscious entity , generally a person , that performs the intentional action that results in the Whole_patient being broken into Pieces . ' I and I alone can shatter the gem and break the curse . '@@@The conscious entity , generally a person , that performs the intentional action that results in the damage to the Patient .@@@The individual that brings about the development of the Project .@@@The individual that changes their situation .@@@The individual that directs the Projectile such that it impacts the Target .@@@The individual that manipulates a Sound_maker so that it makes Noise . ' You can ring the bell as often as you 'd like . '@@@The individual that manipulates the Instrument to enable interaction with the Targeted .@@@The individual that performs the Action , resulting in danger to themself . ' I do n't think you should hazard the ascent in the dark , that 's all . '@@@The individual who causes the Process or State to end .@@@The intentional Agent that is impinged upon by a Trigger event to which they respond . ' Once again the Government is responding to a crisis with measures that will only harm patients '@@@The person who causes an entity ( Item ) to change its positon on a scale with respect to some property ( Variable ) .@@@The person who causes the Theme to be in a particular Configuration .@@@The person who makes arrangements for the Event to take place at a Time and Place . ' Lucy organized a playdate for little Michael and Marcy . '@@@The person who removes the Information .@@@The person who takes possession of the Theme . ' Milton took the can of beer out of the refrigerator . '@@@The sentient being who rescues the Patient or Asset from the Harmful_situation . ' He rescued the innocent girl from a fate worse than death . '@@@The sentient entity that changes the duration of the Event . ' Do n't let him prolong the discussion to an absurd length . '@@@The sentient entity that effects a change in the Entity . ' The system administrator changed the value from ' KDE ' to ' GNOME ' , and then restarted the system . '@@@The sentient entity that is temporarily with the Entity in order to fulfil some Purpose .@@@This FE identifies Agent that stops the Activity .@@@This FE identifies the Agent who has finished an Activity .@@@This FE identifies the being that starts the intentional Activity .@@@With causative uses of these verbs , an Agent separates or divides something . The Agent is usually expressed as the External Argument : ' The researcher divided subjects into groups . '@@@With some words in this frame , an Agent who causes the change in size of the Item may be present . The Agent typically occurs as the External Argument of a verb . ' Management expanded the company . '
